source_id	relation	target_id
role.backend	requires	skill.git
role.backend	requires	skill.linux
role.backend	requires	skill.networking
role.backend	requires	skill.python
role.backend	guides_to	playbook.backend-foundation
role.web	requires	skill.git
role.web	requires	skill.javascript
role.web	requires	technology.nodejs
role.web	guides_to	playbook.web-foundation
role.devops	requires	skill.git
role.devops	requires	skill.linux
role.devops	requires	skill.networking
role.devops	requires	skill.containers
role.devops	uses	technology.docker
role.devops	guides_to	playbook.devops-foundation
skill.containers	uses	technology.docker
technology.docker	uses	tool.docker
skill.git	uses	tool.git
